Month,Rating
2024-09,2.68
2024-08,2.72
2024-07,2.82
2024-06,2.85
2024-05,2.83
2024-04,3.03
2024-03,3.06
2024-02,2.88
2024-01,2.95
2023-12,2.99
2023-11,3.21
2023-10,2.9
2023-09,2.85
2023-08,2.76
2023-07,2.61
2023-06,2.73
2023-05,2.69
2023-04,2.94
2023-03,3.04
2023-02,2.99
2023-01,2.95
2022-12,2.89
2022-11,3.06
2022-10,2.79
2022-09,2.61
2022-08,3.01
2022-07,3.01
2022-06,2.77
2022-05,2.71
2022-04,2.63
2022-03,2.58
2022-02,2.6
2022-01,2.89
2021-12,2.95
2021-11,3.08
2021-10,2.96
2021-09,2.74
2021-08,2.78
2021-07,2.74
2021-06,2.98
2021-05,3.05
2021-04,3.24
